onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.831	0.559	IniFF	5	4	0.943	func/f098.bmp
3.074	0.953	0.479	ImmFF	6	4	0.668	func/f098.bmp
6.297	0.947	0.402	IniUF	13	4	1.197	func/u103.bmp
9.521	0.976	0.505	IniUF	13	4	1.228	func/u107.bmp
12.845	0.861	0.568	ImmUF	14	4	0.764	func/u107.bmp
15.986	0.94	0.509	IniSF	17	7	1.193	func/s105.bmp
19.109	0.901	0.403	ImmSF	18	7	0.951	func/s105.bmp
22.283	0.995	0.505	IniFF	5	7	1.353	func/f099.bmp
25.523	0.809	0.474	ImmFF	6	4	0.962	func/f099.bmp
48.692	0.971	0.551	IniUF	13	7	1.26	func/u101.bmp
51.899	0.92	0.465	ImmUF	14	7	0.928	func/u101.bmp
55.139	0.83	0.539	IniSF	17	7	1.025	func/s111.bmp
58.246	0.953	0.505	DelUF	15	4	0.917	func/u103.bmp
61.453	0.84	0.464	IniSF	17	7	0.989	func/s103.bmp
64.577	0.826	0.506	IniUF	13	4	0.894	func/u109.bmp
67.617	0.816	0.423	IniFF	5	4	0.877	func/f110.bmp
70.807	0.86	0.588	IniSF	17	7	1.306	func/s107.bmp
74.014	0.871	0.581	ImmSF	18	7	1.111	func/s107.bmp
77.088	0.931	0.42	IniUF	13	7	1.064	func/u105.bmp
80.362	0.816	0.58	DelSF	19	7	1.134	func/s111.bmp
83.402	0.988	0.451	IniFF	5	4	0.752	func/f102.bmp
86.576	0.884	0.416	ImmFF	6	7	0.551	func/f102.bmp
89.816	0.805	0.593	DelSF	19	7	1.044	func/s103.bmp
92.906	0.944	0.505	IniFF	5	4	0.834	func/f113.bmp
96.147	0.923	0.526	DelUF	15	4	0.916	func/u109.bmp
99.421	0.915	0.576	IniUF	13	7	0.686	func/u108.bmp
102.511	0.929	0.404	ImmUF	14	7	0.781	func/u108.bmp
105.735	0.955	0.532	DelFF	7	4	0.762	func/f110.bmp
108.992	0.968	0.525	IniUF	13	7	0.859	func/u110.bmp
132.21	0.905	0.48	IniFF	5	7	1.091	func/f100.bmp
135.334	0.994	0.442	ImmFF	6	7	0.469	func/f100.bmp
138.675	0.958	0.584	DelUF	15	7	0.69	func/u105.bmp
141.999	0.86	0.599	IniSF	17	4	1.031	func/s098.bmp
145.189	0.803	0.551	IniFF	5	4	0.897	func/f111.bmp
148.296	0.892	0.523	DelFF	7	4	0.855	func/f113.bmp
151.503	0.932	0.543	IniUF	13	7	0.678	func/u106.bmp
154.81	0.903	0.584	IniFF	5	7	0.895	func/f106.bmp
158.034	0.807	0.564	DelUF	15	7	0.788	func/u110.bmp
161.058	0.945	0.434	IniFF	5	4	0.777	func/f109.bmp
164.298	0.807	0.531	IniSF	17	4	0.715	func/s108.bmp
167.355	0.901	0.47	DelSF	19	4	0.69	func/s098.bmp
170.445	0.98	0.422	IniFF	5	7	0.765	func/f104.bmp
173.686	0.82	0.498	ImmFF	6	7	0.444	func/f104.bmp
176.792	0.96	0.509	DelFF	7	4	0.709	func/f111.bmp
180.1	0.882	0.577	IniFF	5	7	0.806	func/f105.bmp
183.157	0.921	0.41	ImmFF	6	7	0.454	func/f105.bmp
186.314	0.956	0.454	DelUF	15	7	0.611	func/u106.bmp
209.649	0.811	0.587	IniUF	13	4	0.93	func/u098.bmp
212.722	0.9	0.493	ImmUF	14	4	0.606	func/u098.bmp
215.896	0.909	0.514	DelFF	7	7	0.863	func/f106.bmp
219.053	0.866	0.483	IniUF	13	7	0.641	func/u100.bmp
222.26	0.996	0.571	ImmUF	14	7	0.776	func/u100.bmp
225.567	0.813	0.546	DelFF	7	4	0.922	func/f109.bmp
228.675	0.807	0.533	IniFF	5	7	0.565	func/f103.bmp
231.831	0.939	0.511	ImmFF	6	7	1.258	func/f103.bmp
234.971	0.882	0.424	DelSF	19	4	1.078	func/s108.bmp
238.128	0.855	0.514	IniFF	5	7	1.018	func/f112.bmp
241.269	0.852	0.501	ImmFF	6	7	0.857	func/f112.bmp
244.459	0.958	0.581	IniSF	17	7	1.254	func/s110.bmp
247.7	0.878	0.509	IniSF	17	7	0.95	func/s104.bmp
250.823	0.801	0.479	IniFF	5	7	1.015	func/f107.bmp
253.914	0.954	0.534	ImmFF	6	7	0.523	func/f107.bmp
257.154	0.982	0.506	IniSF	17	4	0.922	func/s101.bmp
260.428	0.828	0.529	IniSF	17	4	1.162	func/s113.bmp
263.435	0.886	0.409	ImmSF	18	4	1.074	func/s113.bmp
266.608	0.842	0.531	IniSF	17	4	0.777	func/s100.bmp
269.665	0.856	0.438	ImmSF	18	4	0.99	func/s100.bmp
272.856	0.96	0.554	DelSF	19	7	0.597	func/s110.bmp
296.074	0.834	0.448	IniSF	17	7	1.132	func/s106.bmp
299.164	0.987	0.485	ImmSF	18	4	0.663	func/s106.bmp
302.505	0.981	0.581	DelSF	19	7	0.82	func/s104.bmp
305.712	0.937	0.457	IniSF	17	4	0.859	func/s102.bmp
308.885	0.845	0.478	IniUF	13	4	0.987	func/u102.bmp
312.026	0.804	0.526	DelSF	19	4	0.887	func/s101.bmp
315.149	0.965	0.54	IniSF	17	7	0.63	func/s099.bmp
318.423	0.845	0.539	IniUF	13	7	0.923	func/u113.bmp
321.58	0.956	0.54	ImmUF	14	7	0.689	func/u113.bmp
324.871	0.983	0.555	IniUF	13	7	0.837	func/u112.bmp
328.078	0.866	0.46	IniFF	5	4	0.904	func/f108.bmp
331.252	0.901	0.544	DelSF	19	4	0.858	func/s102.bmp
334.442	0.958	0.52	IniSF	17	4	0.767	func/s109.bmp
337.683	0.99	0.513	DelUF	15	7	0.626	func/u102.bmp
340.973	0.94	0.525	IniFF	5	7	0.825	func/f101.bmp
344.13	0.892	0.443	ImmFF	6	7	0.72	func/f101.bmp
347.287	0.857	0.49	DelSF	19	7	1.113	func/s099.bmp
350.344	0.825	0.425	IniUF	13	7	0.956	func/u104.bmp
373.48	0.879	0.534	IniUF	13	7	0.834	func/u099.bmp
376.669	0.88	0.55	ImmUF	14	7	0.446	func/u099.bmp
379.776	0.892	0.457	DelUF	15	7	0.545	func/u112.bmp
383.017	0.886	0.58	IniUF	13	7	0.735	func/u111.bmp
386.09	0.966	0.419	ImmUF	14	7	0.654	func/u111.bmp
389.364	0.832	0.541	DelFF	7	7	0.98	func/f108.bmp
392.421	0.869	0.453	IniSF	17	7	0.876	func/s112.bmp
395.544	0.914	0.5	ImmSF	18	7	0.518	func/s112.bmp
398.802	0.817	0.573	DelSF	19	4	0.639	func/s109.bmp
